subject,path,app_type,repetition,energy_consumption,network_traffic,mean_cpu_load,mean_mem_usage,median_frame_time
pinterest,nl.pinterest.com,web,17,511.173,21743230,32.575,1971543.4083333334,7666996.0
pinterest,nl.pinterest.com,web,18,520.6100399999999,32466443,36.632075471698116,1743419.1792452831,7880898.0
pinterest,nl.pinterest.com,web,19,435.402,32300531,33.80508474576271,1906173.0847457626,7004638.0
pinterest,nl.pinterest.com,web,20,575.65944,11959939,33.53050847457627,1940352.5254237289,12122645.0
pinterest,nl.pinterest.com,web,21,520.6100399999999,44000129,27.27102803738318,1549380.981308411,10727292.0
pinterest,nl.pinterest.com,web,22,541.05696,7043425,34.59145299145299,1942346.3076923077,6352473.0
pinterest,nl.pinterest.com,web,23,533.19276,14467028,31.56756756756757,1594397.792792793,12295776.0
pinterest,nl.pinterest.com,web,24,504.88164,9240874,40.231404958677686,1806412.4545454546,8078613.0
pinterest,nl.pinterest.com,web,25,493.87176000000005,16640857,35.42782608695652,1897419.095652174,10841709.0
twitch,twitch.tv,web,1,548.66988,101807115,33.79207920792079,1676109.2475247525,6476581.0
twitch,twitch.tv,web,2,561.24684,54889700,33.65346534653465,1697891.9702970297,6484229.0
twitch,twitch.tv,web,3,550.2420000000001,96793824,35.65384615384615,1668768.6153846155,29478215.0
twitch,twitch.tv,web,4,570.6795599999999,96137693,33.70582524271845,1748300.786407767,6608950.0
twitch,twitch.tv,web,5,559.67472,97132424,35.05769230769231,1675913.798076923,5724540.0
twitch,twitch.tv,web,6,567.53532,97360340,33.6,1699230.49,7147138.0
twitch,twitch.tv,web,7,570.6795599999999,99768929,34.255319148936174,1693282.6170212766,12331880.0
twitch,twitch.tv,web,8,547.09776,100161740,33.22549019607843,1683554.549019608,6131542.0
twitch,twitch.tv,web,9,550.2420000000001,102625450,35.309615384615384,1683701.1826923077,22300620.0
twitch,twitch.tv,web,10,565.9631999999999,105855661,34.67307692307692,1680536.4423076923,7280597.0
twitch,twitch.tv,web,11,545.5256400000001,105112843,33.21649484536083,1698605.381443299,6439691.0
twitch,twitch.tv,web,12,547.09776,103200884,34.85294117647059,1669092.3921568627,7626773.0
twitch,twitch.tv,web,13,558.1026,101827491,35.425,1694832.1538461538,22784621.0
